ref,delegator,delegated_ksm,conviction,share_of_chaosdao_delegated_capital
659,Gr1u9zfZ9yjNEHytzi8KcAFoVo7DUWssWuDPmhvf87A1EjG,4500.0,4,0.0503
659,EG5FpzEAsgJxdc5xS8qFX9yKDnpn2sNqTSPr1v54sUr8E8F,2900.0,4,0.0324
659,HcA6jUpjTZM2o5sFZz4NNa6D9YMht2DpPhuLufvmj9T6gBQ,1000.0,5,0.0112
659,CaRRtraR9jdDmRA7HtbBWdswnTM11cRiTemDMsy1D2h2aLR,610.0,0,0.0068
659,EAfrwK6HXDYzMzfgwWYvDTFnK67ovXG13ezWMoeLFweKgNa,100.0,3,0.0011
659,Ez4AsHErY6svADTciHB4VqdjmEUQsJKfZtsLFoe75sxiNYg,65.0,1,0.0007
659,GenJ7focERgRaYcThS3Qcj3HnXyL1DeqvtLh8L9TV6ho1zY,58.0,1,0.0006
659,HNg477iCuSSZMsWiaRbaRP1ZLRUBiWHZqSCEbnmL57UAaGv,21.0,4,0.0002
659,CwVE5LkNLqY7j8WV4tRJtDVFAkCnx2rhK6sgrVRN9YdNZqt,20.0,0,0.0002
659,DMarM298sHZ67b69upNpg8Caj7ngsvhELwH9T4TDNzxtgfi,18.49,4,0.0002
659,FnsrDX6rpYbPRqA1WfbpxUDoyxDZr245r9BYewiWYd4b4Jj,14.0,3,0.0002
659,FvaPKqA7x63Ru3qyVmC9Ky69vpprcjApsEH7m42BbTxr7J2,13.0,3,0.0001
659,EkntPBZ9cayLZZWW54B16RnKBMbM5RCFVuDWncfBX7RaeYN,12.2,6,0.0001
659,JCoHBV9niYT9GyBxAcw6H8BSkzfTLi4KK4Kfw62vj2kq2gt,12.09,4,0.0001
659,CuJponrxGjkppc7pHDv1Ce9Ms5crKicnaz9iKYiybq4e92j,11.0,3,0.0001
659,HtSKUKWRPCxCtzsnNfdbN1NN5uVq4yMizb2FqeHSC3YoRTi,11.0,1,0.0001
659,GAYBQX5f7NXS4dv5EnL7NRSGLnAQmoDqajx998nYLv8QoJT,10.0,0,0.0001
659,DiaryUSMoXwjs51RRLkZvtzfjHLAgmW91EdrtQcwjydcfX2,5.0,5,0.0001
659,JCHiMPr7628cvKNC5uz8XWCgADkCNuFuVqDmpXL2yF6Yqrn,5.0,4,0.0001
659,DrTrixNyrFd8CBBvL2oGFknHo3Laz2n9VcRKxRLAP2Mi9Q6,5.0,4,0.0001
659,DrTrixJQVC8Xugb4Nqb5BZcVdmY7RHCfcEwRLYR1sUpvQUe,5.0,4,0.0001
659,HsnrAsLAaG2hjjR5JN3ovx6n9v6fTxJ7UJMicgPiY9kX1mi,5.0,3,0.0001
